Epoch 44: Avg Critic Loss = 1676.961685180664, Avg Actor Loss = 0.3250467578570048, Avg Reward = 40.01343367342614, Theta = 1.0
Epoch 45: Avg Critic Loss = 2341.482838948568, Avg Actor Loss = 0.3263006620109081, Avg Reward = 48.302299750023785, Theta = 1.0
Epoch 46: Avg Critic Loss = 2695.8080851236978, Avg Actor Loss = 0.3262703809887171, Avg Reward = 51.83190722323823, Theta = 1.0
Epoch 47: Avg Critic Loss = 3930.1667277018228, Avg Actor Loss = 0.3255518215397994, Avg Reward = 62.50204148189531, Theta = 1.0
Epoch 48: Avg Critic Loss = 4168.466471354167, Avg Actor Loss = 0.32585834090908367, Avg Reward = 64.56806171897918, Theta = 1.0
Epoch 49: Avg Critic Loss = 3436.687327067057, Avg Actor Loss = 0.32627419879039127, Avg Reward = 58.50134555958844, Theta = 1.0
Epoch 50: Avg Critic Loss = 3229.1673380533853, Avg Actor Loss = 0.3260254406680663, Avg Reward = 56.82232839156172, Theta = 1.0
Epoch 51: Avg Critic Loss = 2864.7186482747397, Avg Actor Loss = 0.32627279683947563, Avg Reward = 53.459200785905075, Theta = 1.0
Epoch 52: Avg Critic Loss = 2833.211466471354, Avg Actor Loss = 0.32633426909645397, Avg Reward = 53.21667755859897, Theta = 1.0
Epoch 53: Avg Critic Loss = 4099.7777913411455, Avg Actor Loss = 0.3261627797037363, Avg Reward = 62.38623798292503, Theta = 1.0
Epoch 54: Avg Critic Loss = 7785.611104329427, Avg Actor Loss = 0.32627248391509056, Avg Reward = 88.14016171013259, Theta = 1.0
Epoch 55: Avg Critic Loss = 6797.837381998698, Avg Actor Loss = 0.3268370808412631, Avg Reward = 82.37514315821964, Theta = 1.0
Epoch 56: Avg Critic Loss = 6505.572438557942, Avg Actor Loss = 0.3258927818387747, Avg Reward = 80.13011321811128, Theta = 1.0
Epoch 57: Avg Critic Loss = 4235.584930419922, Avg Actor Loss = 0.32625376246869564, Avg Reward = 64.70654623180921, Theta = 1.0
Epoch 58: Avg Critic Loss = 7137.936279296875, Avg Actor Loss = 0.3260011399785678, Avg Reward = 84.4633307964515, Theta = 1.0
Epoch 59: Avg Critic Loss = 6131.111389160156, Avg Actor Loss = 0.3265823759138584, Avg Reward = 78.19705927596522, Theta = 1.0
Epoch 60: Avg Critic Loss = 8357.390584309896, Avg Actor Loss = 0.3272869996726513, Avg Reward = 91.03907160984132, Theta = 1.0
Epoch 61: Avg Critic Loss = 11461.58837890625, Avg Actor Loss = 0.3264199309051037, Avg Reward = 107.03487757257442, Theta = 1.0
Epoch 62: Avg Critic Loss = 9364.579060872396, Avg Actor Loss = 0.3262392617762089, Avg Reward = 96.07604452491735, Theta = 1.0
Epoch 63: Avg Critic Loss = 6205.543375651042, Avg Actor Loss = 0.32690830032030743, Avg Reward = 78.44572312915746, Theta = 1.0
Epoch 64: Avg Critic Loss = 10851.435872395834, Avg Actor Loss = 0.3263418357819319, Avg Reward = 103.99321785279733, Theta = 1.0
Epoch 65: Avg Critic Loss = 10108.064493815104, Avg Actor Loss = 0.32602206369241077, Avg Reward = 100.40455572101263, Theta = 1.0
